pyo3                               ,13445168   ,1815978   ,3.01
web-sys                            ,17319631   ,2334767   ,3.01
windows_aarch64_gnullvm            ,46677033   ,6305477   ,3.01
windows_x86_64_gnullvm             ,46680547   ,6307828   ,3.01
diff                               ,11503666   ,1546279   ,3.02
httpdate                           ,26522744   ,3573587   ,3.02
phf_codegen                        ,14581712   ,1962506   ,3.02
pyo3-build-config                  ,15369433   ,2067762   ,3.02
ciborium                           ,13913918   ,1866289   ,3.03
ciborium-io                        ,13918389   ,1866388   ,3.03
ciborium-ll                        ,13906544   ,1864456   ,3.03
crunchy                            ,20356866   ,2728032   ,3.03
num_threads                        ,12573205   ,1685824   ,3.03
pretty_assertions                  ,10697001   ,1432483   ,3.03
pyo3-macros                        ,13307890   ,1781867   ,3.03
pyo3-macros-backend                ,13309970   ,1782469   ,3.03
adler                              ,13147962   ,1754544   ,3.04
base64                             ,80398723   ,10730873  ,3.04
criterion                          ,16398681   ,2193425   ,3.04
k256                               ,3932991    ,525279    ,3.04
pyo3-ffi                           ,13081208   ,1747997   ,3.04
rustc-hash                         ,41232442   ,5516797   ,3.04
serde-wasm-bindgen                 ,6035724    ,806212    ,3.04
term                               ,6522005    ,872422    ,3.04
windows-strings                    ,18674667   ,2495463   ,3.04
anstyle-wincon                     ,15906177   ,2120986   ,3.05
approx                             ,8158711    ,1087352   ,3.05
atomic-waker                       ,22468767   ,2989018   ,3.05
enum_dispatch                      ,3648615    ,486212    ,3.05
hyper-tls                          ,18877112   ,2515269   ,3.05
ident_case                         ,24010383   ,3200834   ,3.05
openssl-probe                      ,26175178   ,3482274   ,3.05
rand_xoshiro                       ,4848308    ,646053    ,3.05
base-x                             ,1927406    ,256133    ,3.06
env_filter                         ,13007623   ,1727109   ,3.06
include_dir                        ,3491107    ,463652    ,3.06
matches                            ,6971976    ,925004    ,3.06
openssl-macros                     ,19214403   ,2550865   ,3.06
rustls-pki-types                   ,26995258   ,3580165   ,3.06
tar                                ,10957022   ,1454415   ,3.06
ed25519-dalek                      ,8202158    ,1084006   ,3.07
http                               ,50121713   ,6632204   ,3.07
warp                               ,2304736    ,304857    ,3.07
byte-tools                         ,1360006    ,179568    ,3.08
home                               ,22895216   ,3018780   ,3.08
minimal-lexical                    ,27382795   ,3609719   ,3.08
quick-xml                          ,24139953   ,3189204   ,3.08
bit-set                            ,21129733   ,2778679   ,3.09
itertools                          ,90455545   ,11879164  ,3.09
portable-atomic                    ,22698230   ,2988671   ,3.09
tracing-log                        ,26034359   ,3420357   ,3.09
arc-swap                           ,15557238   ,2036805   ,3.10
blake3                             ,8971752    ,1175878   ,3.10
hash32                             ,8025147    ,1052413   ,3.10
yansi                              ,13793558   ,1808284   ,3.10
brotli-decompressor                ,14540833   ,1900541   ,3.11
doc-comment                        ,8602782    ,1124390   ,3.11
